,id,ico_id,ico_symbol,date,open,close,low,high,created_at,updated_at,volume,btc_open,btc_close,btc_low,btc_high,value_from_coinmarketcap,currency
51228,3137066,3306,ETH,2019-06-16 00:00:00,262.3399963379,267.7300109863,260.6600036621,271.9200134277,2019-11-21 12:03:45,2019-11-21 12:03:45,233793.890625,,,,,0,USD
51229,3137067,3306,ETH,2019-06-17 00:00:00,267.6499938965,267.7600097656,263.4700012207,276.75,2019-11-21 12:03:45,2019-11-21 12:03:45,363041.1875,,,,,0,USD
51230,3137068,3306,ETH,2019-06-18 00:00:00,267.7300109863,273.1499938965,266.6600036621,274.549987793,2019-11-21 12:03:45,2019-11-21 12:03:45,277658.1875,,,,,0,USD
51231,3137069,3306,ETH,2019-06-19 00:00:00,273.1499938965,264.700012207,261.7399902344,273.4700012207,2019-11-21 12:03:45,2019-11-21 12:03:45,257769.328125,,,,,0,USD
51232,3137070,3306,ETH,2019-06-20 00:00:00,264.6799926758,268.1600036621,263.6900024414,270.0,2019-11-21 12:03:45,2019-11-21 12:03:45,171554.40625,,,,,0,USD
51233,3137071,3306,ETH,2019-06-21 00:00:00,268.1700134277,271.3299865723,266.0100097656,273.3800048828,2019-11-21 12:03:45,2019-11-21 12:03:45,168029.0625,,,,,0,USD
51234,3137072,3306,ETH,2019-06-22 00:00:00,271.3800048828,294.5899963379,271.3800048828,295.8900146484,2019-11-21 12:03:45,2019-11-21 12:03:45,416370.25,,,,,0,USD
51235,3137073,3306,ETH,2019-06-23 00:00:00,294.4800109863,310.75,292.3599853516,313.9899902344,2019-11-21 12:03:45,2019-11-21 12:03:45,569878.0,,,,,0,USD
51236,3137074,3306,ETH,2019-06-24 00:00:00,310.7600097656,308.6700134277,306.1199951172,321.4700012207,2019-11-21 12:03:45,2019-11-21 12:03:45,347959.0625,,,,,0,USD
51237,3137075,3306,ETH,2019-06-25 00:00:00,308.5799865723,311.7600097656,297.7399902344,314.3900146484,2019-11-21 12:03:45,2019-11-21 12:03:45,262653.65625,,,,,0,USD
51238,3137076,3306,ETH,2019-06-26 00:00:00,311.8200073242,318.2699890137,307.1900024414,318.799987793,2019-11-21 12:03:45,2019-11-21 12:03:45,274271.4375,,,,,0,USD
51239,3137077,3306,ETH,2019-06-27 00:00:00,318.299987793,339.4800109863,315.7699890137,366.4100036621,2019-11-21 12:03:45,2019-11-21 12:03:45,704313.6875,,,,,0,USD
51240,3137078,3306,ETH,2019-06-28 00:00:00,339.4599914551,298.3399963379,279.700012207,346.8399963379,2019-11-21 12:03:45,2019-11-21 12:03:45,731021.75,,,,,0,USD
51241,3137079,3306,ETH,2019-06-29 00:00:00,298.6000061035,311.3500061035,295.549987793,313.5199890137,2019-11-21 12:03:45,2019-11-21 12:03:45,384856.1875,,,,,0,USD
51242,3137080,3306,ETH,2019-06-30 00:00:00,311.3500061035,318.1600036621,295.3900146484,324.4299926758,2019-11-21 12:03:45,2019-11-21 12:03:45,294029.84375,,,,,0,USD
51243,3137081,3306,ETH,2019-07-01 00:00:00,317.9100036621,292.6300048828,290.3900146484,323.2699890137,2019-11-21 12:03:45,2019-11-21 12:03:45,342516.53125,,,,,0,USD
51244,3137082,3306,ETH,2019-07-02 00:00:00,292.7099914551,294.8500061035,280.3099975586,303.2900085449,2019-11-21 12:03:45,2019-11-21 12:03:45,325118.40625,,,,,0,USD
51245,3137083,3306,ETH,2019-07-03 00:00:00,295.049987793,291.4299926758,272.6300048828,297.3200073242,2019-11-21 12:03:45,2019-11-21 12:03:45,307255.65625,,,,,0,USD
51246,3137084,3306,ETH,2019-07-04 00:00:00,291.6300048828,301.299987793,289.3999938965,302.9100036621,2019-11-21 12:03:45,2019-11-21 12:03:45,240755.609375,,,,,0,USD
51247,3137085,3306,ETH,2019-07-05 00:00:00,301.2600097656,282.9899902344,280.3900146484,302.5,2019-11-21 12:03:45,2019-11-21 12:03:45,283580.59375,,,,,0,USD
51248,3137086,3306,ETH,2019-07-06 00:00:00,282.9299926758,287.3599853516,281.2699890137,294.6000061035,2019-11-21 12:03:45,2019-11-21 12:03:45,335018.46875,,,,,0,USD
